Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Wreck-It Ralph (2012),7.7,Nominated for 1 Oscar,33 wins & 42 nominations total,Rich Moore,"$471,222,889",PG,473,404,400K
Under sandet (2015),7.8,Nominated for 1 Oscar,32 wins & 27 nominations total,Martin Zandvliet,"$3,169,553",R,100,162,39K
Forushande (2016),7.7,Won 1 Oscar,13 wins & 27 nominations total,Asghar Farhadi,"$6,953,604",PG-13,116,317,57K
Manchester by the Sea (2016),7.8,Won 2 Oscars,129 wins & 264 nominations total,Kenneth Lonergan,"$78,988,148",R,885,512,265K
American Gangster (2007),7.8,Nominated for 2 Oscars,12 wins & 38 nominations total,Ridley Scott,"$269,755,430",R,541,305,410K
Krugovi (2013),7.8,Awards,15 wins & 5 nominations,Srdan Golubovic,"$71,617",R,541,305,410K
Empire of the Sun (1987),7.7,Nominated for 6 Oscars,13 wins & 17 nominations total,Steven Spielberg,"Dec 13, 1987",PG,372,69,121K
Cabaret (1972),7.8,Won 8 Oscars,39 wins & 18 nominations total,Bob Fosse,"$4,600,000 (estimated)",PG,217,105,52K
The Lego Movie (2014),7.7,Nominated for 1 Oscar,72 wins & 67 nominations total,Christopher Miller,"$468,060,692",PG,590,466,338K
About Time (2013),7.8,Awards,3 wins & 9 nominations,Richard Curtis,"$87,100,449",R,803,284,327K
Lucky Number Slevin (2006),7.7,Awards,5 wins & 4 nominations,Paul McGuigan,"$56,308,881",R,566,184,307K
Spoorloos (1988),7.7,Awards,7 wins & 6 nominations,George Sluizer,The Vanishing,Not Rated,236,103,37K
Missing (1982),7.7,Won 1 Oscar,12 wins & 21 nominations total,Costa-Gavras,"$14,000,000",PG,108,76,21K
Belle de jour (1967),7.7,Awards,7 wins & 7 nominations total,Luis Buñuel,"$4,162,021",R,143,157,43K
Invasion of the Body Snatchers (1956),7.7,Awards,2 wins,Don Siegel,"$417,000 (estimated)",Approved,275,161,48K
A torinói ló (2011),7.8,Awards,7 wins & 15 nominations,Béla Tarr,"$162,088",Not Rated,85,181,17K
The French Connection (1971),7.7,Won 5 Oscars,22 wins & 12 nominations total,William Friedkin,"$51,700,666",R,365,179,117K
Blazing Saddles (1974),7.7,Nominated for 3 Oscars,3 wins & 5 nominations total,Mel Brooks,"$119,601,481",R,453,107,133K
The Last Emperor (1987),7.7,Won 9 Oscars,60 wins & 22 nominations total,Bernardo Bertolucci,"$43,993,869",PG-13,189,90,99K
The Game (1997),7.7,Awards,1 nomination,David Fincher,"$109,423,648",R,761,181,373K
Little Miss Sunshine (2006),7.8,Won 2 Oscars,72 wins & 112 nominations total,Jonathan Dayton,"$101,058,954",R,1K,250,458K
Ocean's Eleven (2001),7.7,Awards,4 wins & 20 nominations,Steven Soderbergh,"$450,717,150",PG-13,989,125,544K
Donnie Brasco (1997),7.7,Nominated for 1 Oscar,2 wins & 16 nominations total,Mike Newell,"$124,909,762",R,322,119,294K
Pride & Prejudice (2005),7.8,Nominated for 4 Oscars,13 wins & 59 nominations total,Joe Wright,"$121,616,555",PG,1.2K,105,277K
Thor: Ragnarok (2017),7.9,Awards,6 wins & 49 nominations,Taika Waititi,"$853,983,911",PG-13,1.7K,531,660K
Utomlennye solntsem (1994),7.9,Won 1 Oscar,5 wins & 10 nominations total,Nikita Mikhalkov,"$2,313,461",R,84,34,15K
Straight Outta Compton (2015),7.8,Nominated for 1 Oscar,28 wins & 40 nominations total,F. Gary Gray,"$201,634,991",R,407,386,191K
Hannah and Her Sisters (1986),7.9,Won 3 Oscars,27 wins & 26 nominations total,Woody Allen,"$40,084,041",PG-13,192,87,70K
Cowboy Bebop: Tengoku no tobira (2001),7.9,Awards,2 nominations,Shin'ichirô Watanabe,"$3,007,903",TV-14,141,69,46K
Mia aioniotita kai mia mera (1998),7.9,Awards,9 wins & 4 nominations,Theodoros Angelopoulos,"$107,178",Unrated,42,54,12K
The Notebook (2004),7.8,Awards,12 wins & 10 nominations,Nick Cassavetes,"$117,815,157",PG-13,1.3K,145,545K
The Artist (2011),7.9,Won 5 Oscars,162 wins & 204 nominations total,Michel Hazanavicius,"$133,432,856",PG-13,709,598,237K
Les parapluies de Cherbourg (1964),7.8,Nominated for 5 Oscars,6 wins & 7 nominations total,Jacques Demy,"$68,991",Not Rated,165,134,26K
Scarlet Street (1945),7.8,Awards,1 nomination,Fritz Lang,"$1,202,007 (estimated)",Approved,168,104,16K
Shadow of a Doubt (1943),7.8,Nominated for 1 Oscar,2 wins & 3 nominations total,Alfred Hitchcock,$714,PG,283,95,63K
The Conversation (1974),7.8,Nominated for 3 Oscars,14 wins & 16 nominations total,Francis Ford Coppola,"$4,432,180",PG,420,183,107K
Badlands (1973),7.8,Awards,4 wins & 1 nomination total,Terrence Malick,"$54,396",PG,253,141,70K
The Lady Vanishes (1938),7.8,Awards,1 win & 1 nomination,Alfred Hitchcock,"$39,776",Not Rated,255,112,51K
Bride of Frankenstein (1935),7.8,Nominated for 1 Oscar,4 wins & 3 nominations total,James Whale,"$10,493",Not Rated,310,130,47K
À bout de souffle (1960),7.8,Awards,4 wins & 4 nominations total,Jean-Luc Godard,"$593,199",Not Rated,232,220,78K
Children of Men (2006),7.9,Nominated for 3 Oscars,49 wins & 89 nominations total,Alfonso Cuarón,"$70,595,464",R,1.4K,329,483K
The Insider (1999),7.8,Nominated for 7 Oscars,23 wins & 58 nominations total,Michael Mann,"$60,289,912",R,565,219,167K
E.T. the Extra-Terrestrial (1982),7.8,Won 4 Oscars,52 wins & 36 nominations total,Steven Spielberg,"$792,910,554",PG,663,265,390K
The Iron Giant (1999),8.0,Awards,20 wins & 18 nominations total,Brad Bird,"$23,180,087",PG,611,146,183K
Wonder (2017),8.0,Nominated for 1 Oscar,4 wins & 28 nominations total,Stephen Chbosky,"$306,209,289",PG,547,242,155K
Her (2013),8.0,Won 1 Oscar,83 wins & 186 nominations total,Spike Jonze,"$48,517,427",R,1.2K,632,574K
The Ox-Bow Incident (1942),8.0,Nominated for 1 Oscar,5 wins & 2 nominations total,William A. Wellman,"$565,000 (estimated)",Passed,168,71,23K
Bin-jip (2004),8.0,Awards,17 wins & 11 nominations,Kim Ki-duk,"$3,403,957",R,145,183,53K
Ratatouille (2007),8.0,Won 1 Oscar,67 wins & 42 nominations total,Brad Bird,"$623,726,085",G,814,331,676K
The Incredibles (2004),8.0,Won 2 Oscars,67 wins & 56 nominations total,Brad Bird,CinemaScope,PG,993,245,687K
Kôkaku Kidôtai (1995),8.0,Awards,5 wins & 7 nominations,Mamoru Oshii,"$918,738",TV-MA,345,121,137K
The Imitation Game (2014),8.0,Won 1 Oscar,49 wins & 163 nominations total,Morten Tyldum,"$233,555,708",PG-13,924,495,725K
X-Men: Days of Future Past (2014),7.9,Nominated for 1 Oscar,16 wins & 48 nominations total,Bryan Singer,"$746,045,700",PG-13,865,577,684K
Ip Man (2008),8.0,Awards,12 wins & 19 nominations,Wilson Yip,"$22,108,789",R,240,119,218K
The Big Sleep (1946),7.9,Awards,2 wins,Howard Hawks,"$22,356",Passed,302,122,83K
Charade (1963),7.9,Nominated for 1 Oscar,3 wins & 9 nominations total,Stanley Donen,"$173,057",Passed,340,92,74K
Superman (1978),7.3,Won 1 Oscar,17 wins & 23 nominations total,Richard Donner,"$300,451,603",PG,608,212,168K
Poltergeist (1982),7.3,Nominated for 3 Oscars,4 wins & 7 nominations total,Tobe Hooper,"$77,142,388",PG,461,266,155K
The Naked Prey (1965),7.3,Nominated for 1 Oscar,1 nomination total,Cornel Wilde,"$900,000 (estimated)",Approved,84,58,5.2K
"Crazy, Stupid, Love. (2011)",7.4,Awards,4 wins & 23 nominations,Glenn Ficarra,"$145,051,197",PG-13,439,325,497K
Eyes Wide Shut (1999),7.4,Awards,12 wins & 30 nominations,Stanley Kubrick,"Jul 18, 1999",PG-13,439,325,497K
Nobody's Fool (1994),7.4,Nominated for 2 Oscars,5 wins & 10 nominations total,Robert Benton,"$39,491,975",R,112,53,20K
Shaun the Sheep Movie (2015),7.3,Nominated for 1 Oscar,5 wins & 50 nominations total,Mark Burton,"$106,209,378",PG,130,244,39K
Jing wu men (1972),7.3,Awards,2 wins & 1 nomination,Wei Lo,"$100,000 (estimated)",R,112,91,29K
The Black Stallion (1979),7.4,Won 1 Oscar,8 wins & 6 nominations total,Carroll Ballard,"$37,799,643",G,111,42,12K
The Constant Gardener (2005),7.4,Won 1 Oscar,35 wins & 69 nominations total,Fernando Meirelles,"$82,468,097",R,615,231,137K
The Stranger (1946),7.4,Nominated for 1 Oscar,2 nominations total,Orson Welles,"$1,034,000 (estimated)",Passed,229,94,26K
From Russia with Love (1963),7.4,Awards,3 wins & 6 nominations total,Terence Young,"$24,808,767",PG,465,131,129K
Corpse Bride (2005),7.3,Nominated for 1 Oscar,9 wins & 30 nominations total,Tim Burton,"$118,090,836",PG,569,278,259K
Take Shelter (2011),7.3,Awards,42 wins & 46 nominations,Jeff Nichols,"$3,741,098",R,383,349,98K
A Passage to India (1984),7.3,Won 2 Oscars,22 wins & 27 nominations total,David Lean,"$27,201,487",PG,116,52,18K
Sweeney Todd: The Demon Barber of Fleet Street (2007),7.3,Won 1 Oscar,34 wins & 77 nominations total,Tim Burton,"$153,383,627",R,903,388,356K
Mission: Impossible - Ghost Protocol (2011),7.4,Awards,5 wins & 30 nominations,Brad Bird,"$694,713,380",PG-13,616,285,473K
Thelma & Louise (1991),7.5,Won 1 Oscar,25 wins & 50 nominations total,Ridley Scott,"$45,457,532",R,366,137,146K
Limitless (2011),7.4,Awards,2 wins & 8 nominations,Neil Burger,"$161,849,455",PG-13,527,396,549K
Lucky (2017),7.4,Awards,16 wins & 18 nominations,John Carroll Lynch,"$2,728,446",Not Rated,110,213,22K
Lady Bird (2017),7.4,Nominated for 5 Oscars,119 wins & 226 nominations total,Greta Gerwig,"$78,966,486",R,852,478,266K
Mission: Impossible - Rogue Nation (2015),7.4,Awards,6 wins & 26 nominations,Christopher McQuarrie,"$682,716,636",PG-13,560,514,357K
Beverly Hills Cop (1984),7.3,Nominated for 1 Oscar,4 wins & 5 nominations total,Martin Brest,"Dec 9, 1984",R,246,142,176K
Spider-Man (2002),7.3,Nominated for 2 Oscars,16 wins & 63 nominations total,Sam Raimi,"$825,025,036",PG-13,2.2K,334,737K
Men in Black (1997),7.3,Won 1 Oscar,22 wins & 39 nominations total,Barry Sonnenfeld,"$589,390,539",PG-13,378,165,541K
Gremlins (1984),7.3,Awards,8 wins & 6 nominations,Joe Dante,"$153,633,143",PG,355,266,211K
Identity (2003),7.3,Awards,1 win & 11 nominations,James Mangold,"$90,259,536",R,820,103,238K
The Adventures of Tintin (2011),7.3,Nominated for 1 Oscar,22 wins & 63 nominations total,Steven Spielberg,"$373,993,951",PG,522,463,225K
Ronin (1998),7.3,Awards,1 win & 4 nominations,John Frankenheimer,"$41,616,262",R,647,147,179K
The Negotiator (1998),7.3,Awards,2 wins & 6 nominations,F. Gary Gray,"$44,547,681",R,313,70,137K
Tsotsi (2005),7.2,Won 1 Oscar,23 wins & 18 nominations total,Gavin Hood,"$9,891,303",R,185,162,28K
Dawn of the Dead (2004),7.3,Awards,1 win & 17 nominations,Zack Snyder,"$102,278,712",R,1.1K,301,248K
The Gods Must Be Crazy (1980),7.3,Awards,2 wins & 3 nominations,Jamie Uys,"$30,031,783",PG,181,44,55K
Blue Jasmine (2013),7.3,Won 1 Oscar,56 wins & 81 nominations total,Woody Allen,"$99,104,804",PG-13,492,451,198K
Star Trek IV: The Voyage Home (1986),7.3,Nominated for 4 Oscars,4 wins & 18 nominations total,Leonard Nimoy,"$109,713,132",PG,267,100,83K
Sexy Beast (2000),7.3,Nominated for 1 Oscar,21 wins & 21 nominations total,Jonathan Glazer,"$10,045,893",R,379,140,59K
Max Manus (2008),7.3,Awards,12 wins & 8 nominations,Joachim Rønning,"$15,384,282",Not Rated,45,62,28K
They Live (1988),7.3,Awards,4 nominations,John Carpenter,"$13,008,928",R,477,228,122K
D.O.A. (1949),7.3,Awards,1 win,Rudolph Maté,Dead on Arrival,Approved,169,70,12K
Frailty (2001),7.2,Awards,5 wins & 16 nominations,Bill Paxton,"$17,423,030",R,549,180,81K
Eight Men Out (1988),7.2,Awards,2 nominations,John Sayles,"$5,680,515",PG,97,48,20K
The Great Gatsby (2013),7.2,Won 2 Oscars,50 wins & 86 nominations total,Baz Luhrmann,"$353,642,274",PG-13,1K,373,510K
The Terminal (2004),7.4,Awards,7 wins & 8 nominations,Steven Spielberg,"$219,100,084",PG-13,798,157,434K
Rounders (1998),7.3,Awards,1 win & 1 nomination,John Dahl,"$22,912,409",R,328,110,147K
This Boy's Life (1993),7.3,Awards,2 wins & 2 nominations,Michael Caton-Jones,"$4,104,962",R,102,47,51K
Natural Born Killers (1994),7.3,Awards,5 wins & 11 nominations,Oliver Stone,"$50,283,563",R,663,166,226K
Il capitale umano (2013),7.3,Awards,47 wins & 30 nominations,Paolo Virzì,"$9,113,941",Not Rated,25,127,12K
North Country (2005),7.3,Nominated for 2 Oscars,5 wins & 20 nominations total,Niki Caro,"$25,211,175",R,227,159,42K
The Country Girl (1954),7.3,Won 2 Oscars,8 wins & 11 nominations total,George Seaton,Unrated,Unrated,70,30,5.8K
Matchstick Men (2003),7.3,Awards,5 nominations,Ridley Scott,"$65,565,672",PG-13,369,156,128K
Revolutionary Road (2008),7.3,Nominated for 3 Oscars,20 wins & 73 nominations total,Sam Mendes,"$75,981,180",R,543,205,206K
Megamind (2010),7.3,Awards,2 wins & 16 nominations,Tom McGrath,"$321,885,765",PG,295,244,244K
RocknRolla (2008),7.3,Awards,1 win & 5 nominations,Guy Ritchie,"$25,740,863",R,257,214,245K
Monkey Kingdom (2015),7.3,Awards,2 wins & 1 nomination,Mark Linfield,"Apr 19, 2015",G,30,45,3.9K
Duma (2005),7.2,Awards,1 nomination,Carroll Ballard,"$994,790",PG,45,36,8.1K
Ant-Man (2015),7.3,Awards,4 wins & 34 nominations total,Peyton Reed,"$519,311,965",PG-13,791,593,616K
La isla mínima (2014),7.3,Awards,60 wins & 43 nominations,Alberto Rodríguez,"$9,014,591",TV-MA,69,168,33K
Luftslottet som sprängdes (2009),7.3,Awards,1 win & 3 nominations,Daniel Alfredson,"$44,276,335",R,124,219,70K
"Deux jours, une nuit (2014)",7.3,Nominated for 1 Oscar,41 wins & 83 nominations total,Jean-Pierre Dardenne,"$9,016,922",PG-13,140,395,47K
Amistad (1997),7.3,Nominated for 4 Oscars,11 wins & 43 nominations total,Steven Spielberg,"$44,229,441",R,251,92,75K
Galaxy Quest (1999),7.3,Awards,7 wins & 14 nominations,Dean Parisot,2.39 : 1,PG,713,107,158K
Gui lai (2014),7.2,Awards,24 wins & 48 nominations,Yimou Zhang,"$47,587,984",PG-13,40,99,5.9K
The Lego Batman Movie (2017),7.3,Awards,13 wins & 68 nominations,Chris McKay,2.35 : 1,PG,355,407,140K
Beasts of the Southern Wild (2012),7.3,Nominated for 4 Oscars,90 wins & 135 nominations total,Benh Zeitlin,"$21,107,746",PG-13,299,645,82K
Truman (2015),7.3,Awards,30 wins & 33 nominations,Cesc Gay,"$9,027,600",TV-14,22,111,13K
Geumul (2016),7.4,Awards,3 nominations,Kim Ki-duk,The Net,TV-14,22,111,13K
Split (2016),7.3,Awards,10 wins & 25 nominations,M. Night Shyamalan,"$278,454,417",PG-13,1.1K,563,461K
Black Panther (2018),7.3,Won 3 Oscars,114 wins & 280 nominations total,Ryan Coogler,"$1,347,597,973",PG-13,3.4K,505,689K
The Bank Job (2008),7.2,Awards,3 nominations,Roger Donaldson,"$64,828,421",R,227,238,178K
The Ghost Writer (2010),7.2,Awards,33 wins & 56 nominations,Roman Polanski,"$60,331,447",PG-13,422,359,161K
Tremors (1990),7.1,Awards,5 nominations,Ron Underwood,"$16,667,084",PG-13,352,189,131K
Meet Joe Black (1998),7.2,Awards,3 wins & 6 nominations,Martin Brest,"$142,940,100",PG-13,864,93,229K
King Kong (2005),7.2,Won 3 Oscars,46 wins & 104 nominations total,Peter Jackson,"$556,906,378",PG-13,2.7K,234,409K
Broken Flowers (2005),7.2,Awards,5 wins & 14 nominations,Jim Jarmusch,"$47,329,961",R,542,232,101K
Kingdom of Heaven (2005),7.2,Awards,5 wins & 15 nominations,Ridley Scott,"$218,122,627",R,1K,235,278K
Scream (1996),7.3,Awards,11 wins & 11 nominations,Wes Craven,"$173,046,663",R,1.1K,291,313K
Los cronocrímenes (2007),7.2,Awards,10 wins & 8 nominations,Nacho Vigalondo,"$553,198",R,207,187,62K
The Karate Kid (1984),7.3,Nominated for 1 Oscar,2 wins & 3 nominations total,John G. Avildsen,"$91,119,319",PG,361,116,210K
The Outsiders (1983),7.1,Awards,1 win & 4 nominations,Francis Ford Coppola,"$25,699,058",PG,391,58,82K
The Dead Zone (1983),7.2,Awards,7 wins & 4 nominations,David Cronenberg,"$20,766,616",R,256,125,67K
From Dusk Till Dawn (1996),7.2,Awards,7 wins & 13 nominations,Robert Rodriguez,"$25,837,111",R,702,189,301K
Anchorman: The Legend of Ron Burgundy (2004),7.2,Awards,1 win & 13 nominations,Adam McKay,"$90,709,367",PG-13,638,169,343K
The Believer (2001),7.1,Awards,6 wins & 10 nominations,Henry Bean,"$1,309,316",R,170,98,38K
Grease (1978),7.2,Nominated for 1 Oscar,4 wins & 10 nominations total,Randal Kleiser,"$396,271,103",PG,472,114,256K
I Am Legend (2007),7.2,Awards,9 wins & 23 nominations,Francis Lawrence,"$585,410,052",PG-13,1.6K,338,720K
Shooter (2007),7.2,Awards,2 nominations,Antoine Fuqua,"$95,696,996",R,417,205,323K
A Better Life (2011),7.2,Nominated for 1 Oscar,5 wins & 10 nominations total,Chris Weitz,"$1,863,506",PG-13,93,94,16K
Frozen River (2008),7.1,Nominated for 2 Oscars,32 wins & 39 nominations total,Courtney Hunt,"$5,457,664",R,109,161,25K
Tracks (2013),7.2,Awards,2 wins & 19 nominations,John Curran,"$5,853,509",PG-13,82,138,29K
Kung Fu Panda 2 (2011),7.2,Nominated for 1 Oscar,5 wins & 47 nominations total,Jennifer Yuh Nelson,"$665,692,281",PG,270,291,268K
Win Win (2011),7.1,Awards,5 wins & 22 nominations,Tom McCarthy,"$11,789,613",R,122,235,54K
The Hospital (1971),7.2,Won 1 Oscar,7 wins & 5 nominations total,Arthur Hiller,"$19,711,560",PG-13,78,38,6.2K
Da uomo a uomo (1967),7.1,Won 1 Oscar,7 wins & 5 nominations total,Arthur Hiller,As Man to Man,PG-13,78,38,6.2K
Mientras duermes (2011),7.2,Awards,9 wins & 22 nominations,Jaume Balagueró,"$8,791,590",Not Rated,93,202,41K
Cold Mountain (2003),7.2,Won 1 Oscar,20 wins & 101 nominations total,Anthony Minghella,"$173,013,509",R,713,170,145K
War Horse (2011),7.2,Nominated for 6 Oscars,15 wins & 77 nominations total,Steven Spielberg,"$177,584,879",PG-13,567,411,153K
Flickan som lekte med elden (2009),7.2,Awards,1 win & 4 nominations,Daniel Alfredson,"$67,153,225",R,163,245,94K
"Janghwa, Hongryeon (2003)",7.2,Awards,23 wins & 2 nominations,Jee-woon Kim,"$1,062,878",R,284,308,60K
10 Cloverfield Lane (2016),7.2,Awards,16 wins & 48 nominations,Dan Trachtenberg,"$110,216,998",PG-13,825,529,309K
Copenhagen (2014),7.1,Awards,6 wins & 2 nominations,Mark Raso,Copenhague,Not Rated,59,47,13K
The Rose Tattoo (1955),7.0,Won 3 Oscars,10 wins & 7 nominations total,Daniel Mann,"$4,200,000",Unrated,39,23,3.9K
Salyut-7 (2017),7.2,Awards,4 wins & 7 nominations,Klim Shipenko,"$16,746,823",Unrated,39,23,3.9K
Re-Animator (1985),7.2,Awards,4 wins & 4 nominations,Stuart Gordon,"$2,023,414",Unrated,267,213,61K
The Jacket (2005),7.1,Awards,1 win & 2 nominations,John Maybury,"$21,733,230",R,295,144,111K
Monster's Ball (2001),7.0,Won 1 Oscar,15 wins & 23 nominations total,Marc Forster,"$45,011,434",R,295,144,111K
Dressed to Kill (1980),7.1,Awards,1 win & 10 nominations,Brian De Palma,"$31,899,000",R,246,155,40K
Niagara (1953),7.0,Awards,1 win & 10 nominations,Brian De Palma,"$1,250,000 (estimated)",R,246,155,40K
Blue Ruin (2013),7.1,Awards,7 wins & 20 nominations,Jeremy Saulnier,"$993,313",R,248,303,71K
Quatermass and the Pit (1967),7.0,Awards,7 wins & 20 nominations,Jeremy Saulnier,"£275,000 (estimated)",R,248,303,71K
Confessions of a Dangerous Mind (2002),7.0,Awards,7 wins & 12 nominations,George Clooney,"$33,013,805",R,283,181,87K
Kill the Irishman (2011),7.1,Awards,1 nomination,Jonathan Hensleigh,"$1,188,194",R,110,87,48K
Find Me Guilty (2006),7.0,Awards,1 win & 2 nominations,Sidney Lumet,"$2,636,637",R,125,104,34K
Runaway Jury (2003),7.1,Awards,1 win & 3 nominations,Gary Fleder,"$80,154,140",PG-13,394,154,95K
Furious 6 (2013),7.0,Awards,10 wins & 22 nominations,Justin Lin,"$788,680,968",PG-13,525,442,384K
No Way Out (1987),7.1,Awards,10 wins & 22 nominations,Justin Lin,"$35,509,515",PG-13,525,442,384K
Never Let Me Go (2010),7.1,Awards,8 wins & 27 nominations,Mark Romanek,"$9,918,093",R,422,345,142K
Wendy and Lucy (2008),7.1,Awards,9 wins & 16 nominations,Kelly Reichardt,"$1,192,995",R,132,193,18K
Blade (1998),7.1,Awards,5 wins & 11 nominations,Stephen Norrington,"$131,211,377",R,677,183,260K
Wild (2014),7.1,Nominated for 2 Oscars,13 wins & 69 nominations total,Jean-Marc Vallée,"$52,501,541",R,340,368,126K
Pitch Black (2000),7.1,Awards,2 wins & 9 nominations,David Twohy,"$53,187,659",R,854,145,233K
Stargate (1994),7.1,Awards,6 wins & 6 nominations,Roland Emmerich,2.39 : 1,PG-13,324,103,184K
Four Weddings and a Funeral (1994),7.1,Nominated for 2 Oscars,24 wins & 28 nominations total,Mike Newell,"$245,700,832",R,270,72,147K
The Ring (2002),7.1,Awards,14 wins & 12 nominations,Gore Verbinski,"$249,348,933",PG-13,1.7K,280,336K
The Gift (2015),7.0,Awards,2 wins & 12 nominations,Joel Edgerton,"$58,980,521",R,467,336,149K
Locke (2013),7.1,Awards,7 wins & 33 nominations,Steven Knight,"$5,090,608",R,461,376,144K
Valkyrie (2008),7.1,Awards,3 wins & 11 nominations,Bryan Singer,"$201,545,517",PG-13,491,178,236K
State of Play (2009),7.1,Awards,2 wins & 4 nominations,Kevin Macdonald,"$87,812,371",PG-13,289,230,149K
Bone Tomahawk (2015),7.1,Awards,9 wins & 20 nominations,S. Craig Zahler,"$382,579",Not Rated,519,295,95K
Fright Night (1985),7.1,Awards,5 wins & 5 nominations,Tom Holland,"$24,922,237",R,350,174,67K
Cars (2006),7.1,Nominated for 2 Oscars,28 wins & 34 nominations total,John Lasseter,"Jun 11, 2006",G,720,260,392K
Allied (2016),7.1,Nominated for 1 Oscar,2 wins & 10 nominations total,Robert Zemeckis,"$119,520,023",R,345,311,150K
This Property Is Condemned (1966),7.0,Awards,2 nominations,Sydney Pollack,"$4,000,000 (estimated)",Unrated,72,31,5.6K
Pieces of April (2003),7.0,Nominated for 1 Oscar,15 wins & 22 nominations total,Peter Hedges,"$3,282,321",PG-13,188,114,21K
The Frighteners (1996),7.1,Awards,3 wins & 16 nominations,Peter Jackson,"$29,359,216",R,254,141,86K
Brawl in Cell Block 99 (2017),7.2,Awards,4 nominations,S. Craig Zahler,"$64,453",Not Rated,562,226,63K
Alive (1993),7.1,Nominated for 1 Primetime Emmy,1 win & 2 nominations total,Frank Marshall,"$36,733,909",R,140,49,54K
Shakespeare in Love (1998),7.1,Won 7 Oscars,64 wins & 87 nominations total,John Madden,2.39 : 1,R,803,122,220K
Independence Day (1996),7.0,Won 1 Oscar,35 wins & 35 nominations total,Roland Emmerich,"$817,400,891",PG-13,1K,203,553K
Fallen (1998),7.0,Awards,3 nominations,Gregory Hoblit,"$25,232,289",R,285,68,80K
Gwoemul (2006),7.1,Awards,29 wins & 35 nominations,Bong Joon Ho,"$89,433,436",R,377,407,116K
The Mummy (1999),7.0,Nominated for 1 Oscar,5 wins & 24 nominations total,Stephen Sommers,"$415,933,406",PG-13,1.1K,132,411K
Maverick (1994),7.0,Nominated for 1 Oscar,1 win & 2 nominations total,Richard Donner,"$183,031,272",PG,141,53,108K
World War Z (2013),7.0,Awards,3 wins & 25 nominations,Marc Forster,"$540,455,876",PG-13,1.2K,668,632K
The Italian Job (2003),7.0,Awards,7 wins & 9 nominations,F. Gary Gray,"$176,070,171",PG-13,562,173,355K
Buried (2010),7.0,Awards,16 wins & 33 nominations,Rodrigo Cortés,"$19,439,764",R,600,375,156K
Happy-Go-Lucky (2008),7.0,Nominated for 1 Oscar,39 wins & 63 nominations total,Mike Leigh,"$18,696,602",R,217,183,39K
The Last Station (2009),7.0,Nominated for 2 Oscars,5 wins & 18 nominations total,Michael Hoffman,"$20,554,320",R,88,186,18K
Hell Is for Heroes (1962),7.0,Nominated for 2 Oscars,5 wins & 18 nominations total,Michael Hoffman,"$2,500,000 (estimated)",R,88,186,18K
Chicken Run (2000),7.0,Awards,23 wins & 26 nominations total,Peter Lord,"$224,834,564",G,413,153,185K
The Cooler (2003),6.9,Nominated for 1 Oscar,9 wins & 26 nominations total,Wayne Kramer,"$10,464,788",R,226,131,34K
Green Room (2015),7.0,Awards,8 wins & 25 nominations,Jeremy Saulnier,"$3,769,214",R,372,429,116K
ParaNorman (2012),7.0,Nominated for 1 Oscar,19 wins & 46 nominations total,Chris Butler,"$107,139,399",PG,226,351,99K
The Lookout (2007),7.0,Awards,1 win & 11 nominations,Scott Frank,"$5,371,181",R,166,145,58K
Jack Reacher (2012),7.0,Awards,1 win & 6 nominations,Christopher McQuarrie,"$218,340,595",PG-13,584,419,324K
The Killing of a Sacred Deer (2017),7.0,Awards,6 wins & 54 nominations,Yorgos Lanthimos,"$7,027,336",R,1K,397,138K
Underworld (2003),7.0,Awards,1 win & 10 nominations,Len Wiseman,"$95,708,457",R,867,230,262K
Liar Liar (1997),6.9,Awards,4 wins & 6 nominations,Tom Shadyac,"$302,710,615",PG-13,327,73,295K
Basic Instinct (1992),7.0,Nominated for 2 Oscars,5 wins & 23 nominations total,Paul Verhoeven,"$352,927,224",R,390,147,191K
Top Gun (1986),6.9,Won 1 Oscar,11 wins & 5 nominations total,Tony Scott,"$357,288,178",PG,557,208,314K
The 'Burbs (1989),6.9,Awards,1 nomination,Joe Dante,"$49,101,993",PG,340,120,73K
The Addams Family (1991),6.9,Nominated for 1 Oscar,5 wins & 22 nominations total,Barry Sonnenfeld,"Nov 24, 1991",PG-13,192,79,148K
The War Wagon (1967),6.9,Awards,1 win,Burt Kennedy,"$11,990,000",Unrated,59,27,9.5K
El mariachi (1992),6.9,Awards,7 wins & 4 nominations,Robert Rodriguez,"Feb 28, 1993",R,146,52,66K
Mad Max (1979),6.9,Awards,5 wins & 8 nominations,George Miller,"$8,773,197",R,409,258,200K
Smokey and the Bandit (1977),7.0,Nominated for 1 Oscar,2 nominations total,Hal Needham,"$126,737,428",PG,218,90,48K
Enemy (2013),6.9,Awards,17 wins & 23 nominations,Denis Villeneuve,"$3,468,224",R,486,341,182K
The Edge (1997),6.9,Awards,3 nominations,Lee Tamahori,"$43,312,294",R,237,91,71K
Presumed Innocent (1990),6.9,Awards,1 win & 2 nominations,Alan J. Pakula,"$221,303,188",R,107,44,40K
Vanilla Sky (2001),6.9,Nominated for 1 Oscar,5 wins & 34 nominations total,Cameron Crowe,"$203,388,341",R,1.3K,150,257K
Syriana (2005),6.9,Won 1 Oscar,13 wins & 30 nominations total,Stephen Gaghan,"$93,974,620",R,647,348,129K
