Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
"Il buono, il brutto, il cattivo (1966)",8.8,Awards,3 wins & 6 nominations,Sergio Leone,"$25,253,751",R,1.2K,147,724K
Casablanca (1942),8.5,Won 3 Oscars,10 wins & 9 nominations total,Michael Curtiz,"$4,376,287",PG,1.4K,212,547K
Wait Until Dark (1967),7.8,Nominated for 1 Oscar,5 nominations total,Terence Young,"$3,000,000 (estimated)",Not Rated,210,77,30K
Up in the Air (2009),7.4,Nominated for 6 Oscars,75 wins & 171 nominations total,Jason Reitman,"$166,842,739",R,561,416,328K
Das Boot (1981),8.3,Nominated for 6 Oscars,13 wins & 11 nominations total,Wolfgang Petersen,"Feb 14, 1982",R,561,416,328K
Serenity (2005),7.8,Awards,9 wins & 10 nominations,Joss Whedon,"$40,445,129",PG-13,1.7K,208,290K
In a Lonely Place (1950),8.0,Awards,3 wins,Nicholas Ray,"$21,493",Not Rated,211,122,30K
Rosemary's Baby (1968),8.0,Won 1 Oscar,11 wins & 12 nominations total,Roman Polanski,"$2,300,000 (estimated)",Approved,617,278,206K
The Curious Case of Benjamin Button (2008),7.8,Won 3 Oscars,83 wins & 160 nominations total,David Fincher,"$335,802,786",PG-13,1K,324,620K
Carrie (1976),7.4,Nominated for 2 Oscars,3 wins & 8 nominations total,Brian De Palma,"$33,800,000",R,596,184,178K
Raiders of the Lost Ark (1981),8.4,Won 5 Oscars,37 wins & 24 nominations total,Steven Spielberg,"$389,925,971",PG,1K,274,924K
Once Upon a Time in America (1984),8.3,Awards,12 wins & 12 nominations total,Sergio Leone,"$5,473,337",R,762,138,333K
Les choristes (2004),7.9,Nominated for 2 Oscars,12 wins & 24 nominations total,Christophe Barratier,"$88,385,944",PG-13,131,125,60K
Road to Perdition (2002),7.7,Won 1 Oscar,23 wins & 82 nominations total,Sam Mendes,"$181,001,478",R,1.1K,214,259K
Stalingrad (1993),7.5,Awards,3 wins & 1 nomination,Joseph Vilsmaier,"$152,972",Not Rated,171,33,34K
Dalkomhan insaeng (2005),7.5,Awards,7 wins & 6 nominations,Jee-woon Kim,"$10,080,094",Not Rated,100,91,39K
Die Hard (1988),8.2,Nominated for 4 Oscars,8 wins & 6 nominations total,John McTiernan,"$141,603,197",R,1K,215,828K
Gladiator (2000),8.5,Won 5 Oscars,59 wins & 106 nominations total,Ridley Scott,"$465,380,802",R,2.8K,221,1.4M
Slumdog Millionaire (2008),8.0,Won 8 Oscars,153 wins & 133 nominations total,Danny Boyle,2.35 : 1,R,1.2K,420,822K
Bound (1996),7.3,Awards,8 wins & 13 nominations,Lana Wachowski,"$3,802,260",R,235,140,54K
American History X (1998),8.5,Nominated for 1 Oscar,4 wins & 15 nominations total,Tony Kaye,"$23,875,127",R,1.6K,128,1.1M
Celda 211 (2009),7.6,Awards,44 wins & 27 nominations,Daniel Monzón,"$19,305,314",R,1.6K,128,1.1M
Kind Hearts and Coronets (1949),8.0,Awards,4 wins & 3 nominations total,Robert Hamer,"$145,583",Not Rated,164,116,36K
Léon (1994),8.5,Awards,6 wins & 15 nominations,Luc Besson,"$19,552,639",R,1.3K,150,1.1M
Changeling (2008),7.7,Nominated for 3 Oscars,14 wins & 55 nominations total,Clint Eastwood,"$113,398,237",R,480,280,248K
Back to the Future Part II (1989),7.8,Nominated for 1 Oscar,9 wins & 9 nominations total,Robert Zemeckis,"Nov 26, 1989",PG,473,150,506K
Black Swan (2010),8.0,Won 1 Oscar,97 wins & 279 nominations total,Darren Aronofsky,"$329,398,046",R,1.3K,711,730K
There Will Be Blood (2007),8.2,Won 2 Oscars,116 wins & 137 nominations total,Paul Thomas Anderson,"$76,182,388",R,1.4K,353,551K
The Treasure of the Sierra Madre (1948),8.2,Won 3 Oscars,16 wins & 8 nominations total,John Huston,"$5,014,000",Passed,304,104,121K
There's Something About Mary (1998),7.1,Awards,17 wins & 17 nominations,Bobby Farrelly,"$369,884,651",R,668,162,302K
The Train (1964),7.8,Nominated for 1 Oscar,1 win & 3 nominations total,John Frankenheimer,"$6,700,000 (estimated)",Not Rated,166,97,16K
Du rififi chez les hommes (1955),8.1,Awards,6 wins & 1 nomination,Jules Dassin,"$521,342",Not Rated,142,111,33K
District 9 (2009),7.9,Nominated for 4 Oscars,31 wins & 117 nominations total,Neill Blomkamp,"$210,888,950",R,1.4K,501,659K
Psycho (1960),8.5,Nominated for 4 Oscars,7 wins & 14 nominations total,Alfred Hitchcock,"$32,041,845",R,1.4K,250,638K
Notorious (1946),8.0,Nominated for 2 Oscars,3 wins & 3 nominations total,Alfred Hitchcock,"$113,061",Not Rated,369,154,98K
Memento (2000),8.4,Nominated for 2 Oscars,57 wins & 59 nominations total,Christopher Nolan,"$40,047,078",R,2.4K,233,1.2M
Apocalypto (2006),7.8,Nominated for 3 Oscars,9 wins & 23 nominations total,Mel Gibson,"$120,673,227",R,1.2K,298,302K
Blow Out (1981),7.4,Awards,2 nominations,Brian De Palma,"$12,000,754",R,220,124,50K
The Dark Knight (2008),9.0,Won 2 Oscars,159 wins & 163 nominations total,Christopher Nolan,"$1,005,973,645",PG-13,7.7K,433,2.4M
Ascenseur pour l'échafaud (1958),8.0,Awards,1 win,Louis Malle,"$431,784",Not Rated,116,137,24K
Full Metal Jacket (1987),8.3,Nominated for 1 Oscar,8 wins & 15 nominations total,Stanley Kubrick,"Jun 28, 1987",R,910,172,707K
Evil Dead II (1987),7.7,Awards,5 nominations,Sam Raimi,"$5,924,421",R,640,306,156K
